taxon	freq
Mammalia	3512
Aves	3450
Insecta	2678
Magnoliopsida	2066
Actinopterygii	1274
Liliopsida	998
Reptilia	893
Amphibia	831
Agaricomycetes	268
Gastropoda	227
Arachnida	197
Elasmobranchii	167
Malacostraca	162
Rhabditophora	130
Cephalopoda	64
Polychaeta	62
Equisetopsida	62
Pinopsida	62
Bivalvia	62
Anthozoa	61
Lecanoromycetes	43
Bryopsida	34
Myxomycetes	28
Scyphozoa	28
Pezizomycetes	27
Florideophyceae	27
Chlorophyceae	25
Asteroidea	23
Echinoidea	23
Hydrozoa	22
Ascidiacea	22
Diplopoda	21
Polypodiopsida	20
Leotiomycetes	19
Holothuroidea	19
Holocephali	17
Not	17
Sarcopterygii	17
Tentaculata	16
Chilopoda	14
Demospongiae	14
Phaeophyceae	13
Cephalaspidomorphi	12
Ulvophyceae	12
Maxillopoda	12
Lycopodiopsida	11
Dinophyceae	11
Eurotatoria	11
Trematoda	11
Sordariomycetes	11
Hirudinida	11
Marchantiopsida	10
Lobosa	9
Entognatha	9
Conjugatophyceae	9
Actinopteri	9
Ophiuroidea	9
Eutardigrada	8
Myxini	8
Psilotopsida	8
Saccharomycetes	7
Aconoidasida	7
Ellipura	6
Branchiopoda	6
Merostomata	6
Turbellaria	6
Eurotiomycetes	5
Clitellata	5
Coscinodiscophyceae	5
Acoelomorpha	5
Cubozoa	5
Euglenophyceae	5
Secernentea	5
Ostracoda	4
Hexactinellida	4
Bangiophyceae	4
Pucciniomycetes	4
Cycadopsida	4
Polycystina	4
Zygomycetes	4
Dicotyledoneae	3
Craspedophyceae	3
Anopla	3
Thaliacea	3
Catenulida	3
Cyanophyceae	3
Cephalochordata	3
Oligohymenophorea	3
Oligotrichea	3
Charophyceae	3
Dicotyledonae	2
Placodermi	2
Pycnogonida	2
Gordioida	2
Nuda	2
Myxosporea	2
Polyplacophora	2
Enteropneusta	2
Acanthodii	2
Anthocerotopsida	2
Staurozoa	2
Tremellomycetes	2
Ichthyosporea	2
Ciliatea	2
Myxogastrea	2
Trebouxiophyceae	2
Heterotardigrada	2
Gammaproteobacteria	2
Granuloreticulosea	2
Bacillariophyceae	2
Taphrinomycetes	2
Phylactolaemata	2
Halobacteria	2
Enoplea	1
Centricae	1
Chytridiomycetes	1
Deinococci	1
Rhodophyceae	1
Agnatha	1
Monothalamea	1
Gymnostomatea	1
Palaeodicotyledonae	1
Lingulata	1
Calcarea	1
Ichthyostraca	1
Crinoidea	1
Osteichthyes	1
Pteraspidomorphi	1
Stenolaemata	1
Sagittoidea	1
Priapulida	1
Psamminida	1
Enopla	1
Globothalamea	1
Chromadorea	1
Sipunculidea	1
Jungermanniopsida	1
Trepaxonemata	1
Prymnesiophyceae	1
Chondrichthyes	1
Dothideomycetes	1
Cestoda	1
Andreaeopsida	1
Phascolosomatidea	1
Protosteliomycetes	1
Compsopogonophyceae	1
Rhynchonellata	1
Filosia	1
Filasterea	1
Actinobacteria	1
Acantharea	1
Magnoliatae	1
Pteridophyte	1
Myxogastria	1
Conoidasida	1
Monogenea	1
Glaucocystophyceae	1
Zoomastigophora	1
Monocotyledonae	1
Chlorodendrophyceae	1
Hypotrichea	1
